datetimeLoc,latitude,longitude,response_time_sec
2019-11-16T10:48:24.130000,38.9112007,-77.0327209,10533
2019-11-16T10:56:54.772000,38.8934983,-76.9962702,8286
2019-11-16T11:03:27.566000,38.889929,-76.9872595,8462
2019-11-16T11:11:24.556000,38.8885967,-76.9870767,7809
2019-11-16T11:16:47.391000,38.8749114,-77.0174859,15014
2019-11-16T11:24:12.788000,38.9022738,-77.0325328,179
2019-11-16T11:27:05.975000,38.900587,-77.0413969,439
2019-11-16T11:27:47.011000,38.9023965,-77.0324837,5146
2019-11-16T11:32:21.894000,38.8633185,-76.9650624,6849
2019-11-16T11:40:08.590000,38.9048364,-77.057279,5437
2019-11-16T13:10:59.274000,38.9048187,-77.0572897,6170
2019-11-16T13:40:05.586000,38.91705,-77.0305217,4022
2019-11-16T14:08:36.387000,38.9072309,-77.052781,70
2019-11-16T14:11:19.257000,38.9094797,-77.0225946,11940
2019-11-16T14:18:51.309000,38.8994659,-77.0509654,1677
2019-11-16T14:22:37.966000,38.856915,-76.9780017,344
2019-11-16T14:25:14.499000,38.9002107,-77.0248339,1179
2019-11-16T14:25:32.273000,38.900101,-77.0060054,898
2019-11-16T14:26:30.971000,38.8983661,-77.0259304,90
2019-11-16T14:43:07.305000,38.8756374,-77.0116045,12331
2019-11-16T15:17:29.005000,38.862837,-76.9924222,648
2019-11-16T15:34:56.962000,38.8747819,-77.0174988,247
2019-11-16T15:39:18.552000,38.8809908,-77.0177055,2684
2019-11-16T15:54:40.157000,38.9196877,-77.0406401,1031
2019-11-16T15:55:44.781000,38.8984483,-77.0243154,7318
2019-11-16T16:21:24.217000,38.88645,-77.0182,5281
2019-11-16T16:25:34.301000,38.8939486,-77.0230896,418
2019-11-16T16:27:14.499000,38.904895,-77.0252617,627
2019-11-16T16:38:14.712000,38.9098323,-77.0287593,5210
2019-11-16T17:13:11.110000,38.9024143,-77.0213653,2946
2019-11-16T17:28:09.351000,38.9272412,-77.0308729,6815
2019-11-16T17:35:14.730000,38.9533001,-77.0277708,13135
2019-11-16T17:40:34.693000,38.8959867,-77.0089967,7415
2019-11-16T17:54:35.907000,38.9077883,-77.0425334,1277
2019-11-16T18:24:15.891000,38.9049849,-77.0660145,473
2019-11-16T18:30:57.810000,38.9219899,-77.0411634,4874
2019-11-16T18:31:32.713000,38.9061815,-77.0226499,741
2019-11-16T18:32:14.756000,38.9049917,-77.0659633,284
2019-11-16T18:33:56.986000,38.9005575,-77.0285591,1304
2019-11-16T18:34:02.491000,38.9001899,-77.0280899,733
2019-11-16T18:37:21.386000,38.9049473,-77.0660621,7382
2019-11-16T18:46:24.367000,38.8961552,-77.0225308,682
2019-11-16T19:11:10.789000,38.8917052,-76.9835867,5292
2019-11-16T19:22:19.079000,38.9271718,-77.0308266,72883
2019-11-16T19:27:46.908000,38.9052299,-77.0120998,1451
2019-11-16T19:34:19.368000,38.9065534,-77.0434779,63235
2019-11-16T19:53:32.251000,38.9033195,-77.0122153,42606
2019-11-16T19:54:39.005000,38.8994674,-77.0393283,88
2019-11-16T20:39:06.274000,38.898733,-77.0219244,1171
2019-11-16T20:58:47.215000,38.8986933,-77.0218333,488
2019-11-16T21:06:02.356000,38.8770356,-77.0164083,12006
2019-11-16T21:22:46.290000,38.8765959,-77.0163245,11023
2019-11-16T21:36:29.452000,38.8986899,-77.0217961,1859
2019-11-16T21:49:23.817000,38.9071376,-77.0690558,17435
2019-11-16T22:10:35.092000,38.9171083,-77.0242825,365
2019-11-16T22:34:53.006000,38.90012,-77.0521833,146295
2019-11-16T22:42:20.894000,38.8985586,-77.0217636,137
2019-11-16T22:43:35.096000,38.915845,-77.0678033,41404
2019-11-16T23:23:13.407000,38.906345,-77.0414967,341
